,Device.Name,AnimalID,Device.ID,Date...Time..GMT.,Date...Time..Local.,Latitude,Longitude,Altitude,Fix.Status,DOP,Temp..C.,Main..V.,Back..V.,Capture_Pasture,TimeStamp,TimeStamp1
30,HRG 192 F2,F2,41886,43309.79199,43309.45866,39.0187436,-123.0634078,657.71,3D-V Fix,5.2,35,3.6,0.08,Orchard,2018-7-28 12:00,7/28/18 12:00
31,HRG 192 F2,F2,41886,43309.8335,43309.50016,39.0189547,-123.0636742,619.26,3D-V Fix,4.2,37,3.6,0.08,Orchard,2018-7-28 13:00,7/28/18 13:00
32,HRG 194,A4,41888,43309.83353,43309.5002,39.032205,-123.0901681,586.12,3D-V Fix,3,35,3.52,3.6,James I,2018-7-28 13:00,7/28/18 13:00
33,HRG 196 K4,K4,41890,43309.83363,43309.5003,39.0007886,-123.0964544,196.96,3D-V Fix,3,36,3.52,3.6,Foster Bio,2018-7-28 13:00,7/28/18 13:00
34,HRG 192 F2,F2,41886,43309.87523,43309.5419,39.0187847,-123.0640261,666.37,3D-V Fix,4.2,38,3.6,0.08,Orchard,2018-7-28 14:00,7/28/18 14:00
35,HRG 196 K4,K4,41890,43309.87522,43309.54189,39.0011275,-123.0959128,218.79,3D-V Fix,4.2,39,3.6,3.6,Foster Bio,2018-7-28 14:00,7/28/18 14:00
36,HRG 194,A4,41888,43309.87543,43309.54209,39.0324331,-123.0903583,588.22,3D-V Fix,4.2,40,3.52,3.6,James I,2018-7-28 14:00,7/28/18 14:00
37,HRG 196 K4,K4,41890,43309.91699,43309.58366,39.0010644,-123.0952225,227.46,3D-V Fix,2,42,3.6,3.6,Foster Bio,2018-7-28 15:00,7/28/18 15:00
38,HRG 194,A4,41888,43309.91701,43309.58368,39.0338383,-123.0898194,637.14,3D-V Fix,2,42,3.52,3.6,James I,2018-7-28 15:00,7/28/18 15:00
39,HRG 192 F2,F2,41886,43309.91757,43309.58424,39.0188794,-123.0640544,667.7,3D Fix,3.2,39,3.52,0.08,Orchard,2018-7-28 15:01,7/28/18 15:01
40,HRG 196 K4,K4,41890,43309.95846,43309.62513,39.0011486,-123.0953658,227.03,3D-V Fix,2,40,3.6,3.6,Foster Bio,2018-7-28 16:00,7/28/18 16:00
41,HRG 194,A4,41888,43309.95859,43309.62525,39.0339758,-123.0897842,648.48,3D-V Fix,3.4,40,3.6,3.6,James I,2018-7-28 16:00,7/28/18 16:00
42,HRG 192 F2,F2,41886,43309.95896,43309.62563,39.0190189,-123.063785,643.82,3D-V Fix,2,39,3.52,0.08,Orchard,2018-7-28 16:00,7/28/18 16:00
43,HRG 194,A4,41888,43310.00022,43309.66689,39.0312792,-123.0900556,566.83,3D-V Fix,3.6,37,3.6,3.6,James I,2018-7-28 17:00,7/28/18 17:00
44,HRG 196 K4,K4,41890,43310.00035,43309.66701,39.0010783,-123.0952225,228.72,3D-V Fix,2.2,41,3.6,3.6,Foster Bio,2018-7-28 17:00,7/28/18 17:00
45,HRG 192 F2,F2,41886,43310.00056,43309.66722,39.01886,-123.0637533,665.61,3D-V Fix,2.8,39,3.52,0.08,Orchard,2018-7-28 17:00,7/28/18 17:00
46,HRG 196 K4,K4,41890,43310.04179,43309.70846,39.0010883,-123.095035,209.86,3D-V Fix,2,37,3.6,3.6,Foster Bio,2018-7-28 18:00,7/28/18 18:00
47,HRG 194,A4,41888,43310.04181,43309.70847,39.0325469,-123.0936997,467.82,3D-V Fix,2.6,38,3.6,3.6,James I,2018-7-28 18:00,7/28/18 18:00
48,HRG 192 F2,F2,41886,43310.04194,43309.70861,39.0187575,-123.0638611,678.04,3D-V Fix,1.8,37,3.6,0.08,Orchard,2018-7-28 18:00,7/28/18 18:00
49,HRG 196 K4,K4,41890,43310.08359,43309.75025,39.0010433,-123.096565,203.32,3D-V Fix,2.6,39,3.52,3.6,Foster Bio,2018-7-28 19:00,7/28/18 19:00
50,HRG 194,A4,41888,43310.08359,43309.75025,39.0323553,-123.0936014,495.67,3D-V Fix,2.2,36,3.52,3.6,James I,2018-7-28 19:00,7/28/18 19:00
51,HRG 192 F2,F2,41886,43310.08362,43309.75029,39.0187017,-123.0638733,701.57,3D-V Fix,9.8,37,3.6,0.08,Orchard,2018-7-28 19:00,7/28/18 19:00
52,HRG 196 K4,K4,41890,43310.12514,43309.79181,38.9992597,-123.0971372,239.69,3D-V Fix,5.2,33,3.6,3.6,Foster Bio,2018-7-28 20:00,7/28/18 20:00
53,HRG 192 F2,F2,41886,43310.12516,43309.79183,39.0195006,-123.0645647,671.55,3D-V Fix,2.2,33,3.6,0.08,Orchard,2018-7-28 20:00,7/28/18 20:00
54,HRG 194,A4,41888,43310.12522,43309.79189,39.0331681,-123.0949919,470.1,3D-V Fix,2.4,33,3.6,3.6,James I,2018-7-28 20:00,7/28/18 20:00
55,HRG 194,A4,41888,43310.16679,43309.83346,39.0339764,-123.0942,499.14,3D-V Fix,4.2,31,3.6,3.6,James I,2018-7-28 21:00,7/28/18 21:00
56,HRG 196 K4,K4,41890,43310.16701,43309.83368,38.9993783,-123.0970381,215.48,3D-V Fix,2,30,3.52,3.6,Foster Bio,2018-7-28 21:00,7/28/18 21:00
57,HRG 192 F2,F2,41886,43310.16738,43309.83405,39.0184189,-123.0666803,594.18,3D-V Fix,4.4,29,3.52,0.08,Orchard,2018-7-28 21:01,7/28/18 21:01
58,HRG 196 K4,K4,41890,43310.20848,43309.87515,38.9998489,-123.0953703,227.24,3D-V Fix,4,28,3.52,3.6,Foster Bio,2018-7-28 22:00,7/28/18 22:00
59,HRG 194,A4,41888,43310.20868,43309.87535,39.0339833,-123.0941356,496.62,3D-V Fix,2,29,3.52,3.6,James I,2018-7-28 22:00,7/28/18 22:00
60,HRG 192 F2,F2,41886,43310.20889,43309.87556,39.0182336,-123.0669775,602.12,3D-V Fix,2,28,3.52,0.08,Orchard,2018-7-28 22:00,7/28/18 22:00
61,HRG 192 F2,F2,41886,43310.25014,43309.91681,39.0182789,-123.0670547,611.81,3D-V Fix,2.8,28,3.6,0.08,Orchard,2018-7-28 23:00,7/28/18 23:00
62,HRG 196 K4,K4,41890,43310.25015,43309.91682,39.0010933,-123.0951736,221.91,3D-V Fix,4.8,25,3.52,3.52,Foster Bio,2018-7-28 23:00,7/28/18 23:00
63,HRG 194,A4,41888,43310.25022,43309.91689,39.0339397,-123.0941467,507.33,3D-V Fix,3.4,29,3.6,3.6,James I,2018-7-28 23:00,7/28/18 23:00
64,HRG 194,A4,41888,43310.29178,43309.95845,39.0342006,-123.0938417,524.02,3D-V Fix,3.2,28,3.6,3.6,James I,2018-7-29 00:00,7/29/18 0:00
65,HRG 196 K4,K4,41890,43310.29181,43309.95847,39.0011003,-123.0951736,222.54,3D-V Fix,4.6,25,3.52,3.52,Foster Bio,2018-7-29 00:00,7/29/18 0:00
66,HRG 192 F2,F2,41886,43310.29189,43309.95855,39.0183019,-123.0670778,586.38,3D-V Fix,4.2,28,3.6,0.08,Orchard,2018-7-29 00:00,7/29/18 0:00
67,HRG 192 F2,F2,41886,43310.33368,43310.00035,39.0182708,-123.0669631,589.07,3D-V Fix,3.6,28,3.52,0.08,Orchard,2018-7-29 01:00,7/29/18 1:00
68,HRG 196 K4,K4,41890,43310.33367,43310.00034,39.0010739,-123.0952578,229.34,3D-V Fix,2.2,23,3.52,3.52,Foster Bio,2018-7-29 01:00,7/29/18 1:00
69,HRG 194,A4,41888,43310.33368,43310.00035,39.0342328,-123.0938167,500.54,3D-V Fix,4,28,3.52,3.6,James I,2018-7-29 01:00,7/29/18 1:00
70,HRG 196 K4,K4,41890,43310.37515,43310.04182,38.9996458,-123.0958089,242.38,3D-V Fix,2.6,22,3.52,3.52,Foster Bio,2018-7-29 02:00,7/29/18 2:00
71,HRG 194,A4,41888,43310.37521,43310.04188,39.0341814,-123.0939139,507.58,3D-V Fix,3.4,27,3.6,3.6,James I,2018-7-29 02:00,7/29/18 2:00
72,HRG 192 F2,F2,41886,43310.37556,43310.04222,39.0182583,-123.0669789,587.58,3D-V Fix,2.6,25,3.52,0.16,Orchard,2018-7-29 02:00,7/29/18 2:00
73,HRG 194,A4,41888,43310.4167,43310.08337,39.0346414,-123.0938053,482.7,3D-V Fix,4.6,27,3.52,3.6,James I,2018-7-29 03:00,7/29/18 3:00
74,HRG 192 F2,F2,41886,43310.417,43310.08367,39.0184442,-123.0669844,593.92,3D-V Fix,2.2,25,3.52,0.16,Orchard,2018-7-29 03:00,7/29/18 3:00
75,HRG 196 K4,K4,41890,43310.41701,43310.08368,38.9996494,-123.0958142,232.35,3D-V Fix,2,21,3.52,3.52,Foster Bio,2018-7-29 03:00,7/29/18 3:00
76,HRG 196 K4,K4,41890,43310.45848,43310.12515,38.9997367,-123.0958125,256.95,3D-V Fix,2.8,20,3.52,3.52,Foster Bio,2018-7-29 04:00,7/29/18 4:00
77,HRG 194,A4,41888,43310.45868,43310.12535,39.0336969,-123.0929603,542.19,3D-V Fix,5.2,25,3.52,3.52,James I,2018-7-29 04:00,7/29/18 4:00
78,HRG 192 F2,F2,41886,43310.45913,43310.1258,39.0178811,-123.0656306,617.04,3D Fix,4.2,24,3.52,0.16,Orchard,2018-7-29 04:01,7/29/18 4:01
79,HRG 196 K4,K4,41890,43310.50019,43310.16685,38.9996653,-123.0958719,233.35,3D-V Fix,3.2,19,3.52,3.52,Foster Bio,2018-7-29 05:00,7/29/18 5:00
80,HRG 194,A4,41888,43310.50021,43310.16688,39.0340153,-123.0930089,609.72,3D-V Fix,4,25,3.6,3.6,James I,2018-7-29 05:00,7/29/18 5:00
81,HRG 192 F2,F2,41886,43310.50063,43310.16729,39.0187967,-123.0638172,658.4,3D-V Fix,2,24,3.52,0.16,Orchard,2018-7-29 05:00,7/29/18 5:00
82,HRG 196 K4,K4,41890,43310.542,43310.20867,38.9995578,-123.0959272,235.39,3D-V Fix,2.8,19,3.52,3.52,Foster Bio,2018-7-29 06:00,7/29/18 6:00
83,HRG 194,A4,41888,43310.54201,43310.20868,39.0342297,-123.0930425,545.43,3D-V Fix,2.6,25,3.52,3.6,James I,2018-7-29 06:00,7/29/18 6:00
84,HRG 192 F2,F2,41886,43310.54222,43310.20889,39.0187086,-123.0638156,667.27,3D-V Fix,2.4,23,3.52,0.16,Orchard,2018-7-29 06:00,7/29/18 6:00
85,HRG 192 F2,F2,41886,43310.58346,43310.25013,39.0183175,-123.0636814,666.87,3D-V Fix,4.2,24,3.6,0.16,Orchard,2018-7-29 07:00,7/29/18 7:00
86,HRG 196 K4,K4,41890,43310.58352,43310.25019,38.9996231,-123.0958156,243.9,3D-V Fix,5.2,19,3.52,3.52,Foster Bio,2018-7-29 07:00,7/29/18 7:00
87,HRG 194,A4,41888,43310.58354,43310.25021,39.0337219,-123.0929572,613.37,3D-V Fix,4.2,25,3.52,3.6,James I,2018-7-29 07:00,7/29/18 7:00
88,HRG 196 K4,K4,41890,43310.62516,43310.29183,38.9996861,-123.0957511,246.41,3D-V Fix,5,21,3.52,3.52,Foster Bio,2018-7-29 08:00,7/29/18 8:00
89,HRG 192 F2,F2,41886,43310.62535,43310.29201,39.0182289,-123.06463,666.31,3D-V Fix,5.8,26,3.52,0.16,Orchard,2018-7-29 08:00,7/29/18 8:00
90,HRG 194,A4,41888,43310.62535,43310.29201,39.0335608,-123.0926653,559.22,3D-V Fix,2,25,3.52,3.6,James I,2018-7-29 08:00,7/29/18 8:00
91,HRG 194,A4,41888,43310.66689,43310.33355,39.0320853,-123.0906356,575.51,3D-V Fix,2.4,26,3.52,3.6,James I,2018-7-29 09:00,7/29/18 9:00
