Station,BCI,DateTimeOriginal,Date,Time,Species,Month,TimeStamp,TimePeriod,Area
B14,4,6/14/2018 7:24,6/14/2018,7:24:34,Deer - Doe,6,6/14/2018 7:24,Pre,Outside
B14,4,6/14/2018 7:41,6/14/2018,7:41:35,Deer - Doe,6,6/14/2018 7:41,Pre,Outside
C15,4,6/14/2018 22:05,6/14/2018,22:05:22,Deer - Buck,6,6/14/2018 22:05,Pre,Outside
D12,4,6/14/2018 5:11,6/14/2018,5:11:54,Deer - Doe,6,6/14/2018 5:11,Pre,Outside
B14,3,6/15/2018 4:44,6/15/2018,4:44:16,Deer - Doe,6,6/15/2018 4:44,Pre,Outside
B14,3,6/15/2018 9:43,6/15/2018,9:43:35,Deer - Doe,6,6/15/2018 9:43,Pre,Outside
B14,4,6/15/2018 9:42,6/15/2018,9:42:14,Deer - Doe,6,6/15/2018 9:42,Pre,Outside
C15,4,6/15/2018 22:32,6/15/2018,22:32:10,Deer - Doe,6,6/15/2018 22:32,Pre,Outside
D12,4,6/15/2018 6:55,6/15/2018,6:55:45,Deer - Doe,6,6/15/2018 6:55,Pre,Outside
B12,4,6/16/2018 9:29,6/16/2018,9:29:53,Deer - Buck,6,6/16/2018 9:29,Pre,Outside
B14,3,6/16/2018 8:54,6/16/2018,8:54:34,Deer - Doe,6,6/16/2018 8:54,Pre,Outside
B14,3,6/17/2018 15:43,6/17/2018,15:43:43,Deer - Buck,6,6/17/2018 15:43,Pre,Outside
B14,4,6/17/2018 10:13,6/17/2018,10:13:04,Deer - Buck,6,6/17/2018 10:13,Pre,Outside
B14,4,6/17/2018 15:44,6/17/2018,15:44:33,Deer - Buck,6,6/17/2018 15:44,Pre,Outside
B14,2,6/17/2018 14:45,6/17/2018,14:45:56,Deer - Doe,6,6/17/2018 14:45,Pre,Outside
B14,3,6/18/2018 9:34,6/18/2018,9:34:54,Deer - Buck,6,6/18/2018 9:34,Pre,Outside
B14,3,6/18/2018 12:02,6/18/2018,12:02:33,Deer - Buck,6,6/18/2018 12:02,Pre,Outside
B14,3,6/18/2018 21:06,6/18/2018,21:06:20,Deer - Buck,6,6/18/2018 21:06,Pre,Outside
B14,4,6/18/2018 9:31,6/18/2018,9:31:52,Deer - Buck,6,6/18/2018 9:31,Pre,Outside
B14,4,6/18/2018 21:04,6/18/2018,21:04:09,Deer - Buck,6,6/18/2018 21:04,Pre,Outside
B14,4,6/18/2018 21:45,6/18/2018,21:45:23,Deer - Buck,6,6/18/2018 21:45,Pre,Outside
B14,2,6/18/2018 10:03,6/18/2018,10:03:47,Deer - Doe,6,6/18/2018 10:03,Pre,Outside
B14,3,6/18/2018 4:00,6/18/2018,4:00:56,Deer - Doe,6,6/18/2018 4:00,Pre,Outside
E15,3,6/18/2018 15:42,6/18/2018,15:42:44,Deer - Doe,6,6/18/2018 15:42,Pre,Outside
B14,4,6/19/2018 2:00,6/19/2018,2:00:20,Deer - Buck,6,6/19/2018 2:00,Pre,Outside
B14,4,6/19/2018 2:24,6/19/2018,2:24:36,Deer - Doe,6,6/19/2018 2:24,Pre,Outside
B14,4,6/19/2018 9:09,6/19/2018,9:09:31,Deer - Doe,6,6/19/2018 9:09,Pre,Outside
B14,3,6/20/2018 0:30,6/20/2018,0:30:19,Deer - Doe,6,6/20/2018 0:30,Pre,Outside
B14,3,6/20/2018 2:39,6/20/2018,2:39:23,Deer - Doe,6,6/20/2018 2:39,Pre,Outside
D12,4,6/20/2018 2:19,6/20/2018,2:19:12,Deer - Doe,6,6/20/2018 2:19,Pre,Outside
D16,3,6/20/2018 7:32,6/20/2018,7:32:15,Deer - Buck,6,6/20/2018 7:32,Pre,Outside
E15,4,6/20/2018 22:37,6/20/2018,22:37:16,Deer - Doe,6,6/20/2018 22:37,Pre,Outside
B14,3,6/21/2018 11:21,6/21/2018,11:21:16,Deer - Doe,6,6/21/2018 11:21,Pre,Outside
B14,3,6/21/2018 11:40,6/21/2018,11:40:07,Deer - Doe,6,6/21/2018 11:40,Pre,Outside
B14,3,6/21/2018 18:58,6/21/2018,18:58:25,Deer - Doe,6,6/21/2018 18:58,Pre,Outside
B14,4,6/21/2018 11:21,6/21/2018,11:21:20,Deer - Doe,6,6/21/2018 11:21,Pre,Outside
B14,4,6/21/2018 11:39,6/21/2018,11:39:59,Deer - Doe,6,6/21/2018 11:39,Pre,Outside
B14,4,6/21/2018 18:55,6/21/2018,18:55:36,Deer - Doe,6,6/21/2018 18:55,Pre,Outside
B14,4,6/21/2018 23:23,6/21/2018,23:23:29,Deer - Doe,6,6/21/2018 23:23,Pre,Outside
B14,2,6/22/2018 3:02,6/22/2018,3:02:30,Deer - Doe,6,6/22/2018 3:02,Pre,Outside
B14,4,6/22/2018 3:02,6/22/2018,3:02:24,Deer - Doe,6,6/22/2018 3:02,Pre,Outside
B14,4,6/22/2018 21:35,6/22/2018,21:35:08,Deer - Doe,6,6/22/2018 21:35,Pre,Outside
B14,4,6/22/2018 22:00,6/22/2018,22:00:43,Deer - Doe,6,6/22/2018 22:00,Pre,Outside
B14,4,6/22/2018 22:33,6/22/2018,22:33:38,Deer - Doe,6,6/22/2018 22:33,Pre,Outside
C17,3,6/22/2018 9:19,6/22/2018,9:19:47,Deer - Doe,6,6/22/2018 9:19,Pre,Outside
B14,3,6/23/2018 14:05,6/23/2018,14:05:58,Deer - Buck,6,6/23/2018 14:05,Pre,Outside
B14,3,6/23/2018 14:05,6/23/2018,14:05:56,Deer - Doe,6,6/23/2018 14:05,Pre,Outside
B14,4,6/23/2018 9:54,6/23/2018,9:54:12,Deer - Doe,6,6/23/2018 9:54,Pre,Outside
B14,4,6/23/2018 14:26,6/23/2018,14:26:16,Deer - Doe,6,6/23/2018 14:26,Pre,Outside
E13,5,6/23/2018 23:35,6/23/2018,23:35:03,Deer - Buck,6,6/23/2018 23:35,Pre,Outside
B14,4,6/24/2018 21:50,6/24/2018,21:50:58,Deer - Buck,6,6/24/2018 21:50,Pre,Outside
B14,2,6/24/2018 2:30,6/24/2018,2:30:37,Deer - Doe,6,6/24/2018 2:30,Pre,Outside
B14,3,6/24/2018 5:11,6/24/2018,5:11:43,Deer - Doe,6,6/24/2018 5:11,Pre,Outside
B14,4,6/24/2018 8:19,6/24/2018,8:19:06,Deer - Doe,6,6/24/2018 8:19,Pre,Outside
B14,4,6/24/2018 10:59,6/24/2018,10:59:22,Deer - Doe,6,6/24/2018 10:59,Pre,Outside
B14,4,6/24/2018 16:30,6/24/2018,16:30:19,Deer - Doe,6,6/24/2018 16:30,Pre,Outside
B14,3,6/25/2018 20:25,6/25/2018,20:25:33,Deer - Buck,6,6/25/2018 20:25,Pre,Outside
B14,2,6/25/2018 22:02,6/25/2018,22:02:43,Deer - Doe,6,6/25/2018 22:02,Pre,Outside
B14,3,6/25/2018 17:38,6/25/2018,17:38:38,Deer - Doe,6,6/25/2018 17:38,Pre,Outside
B14,3,6/25/2018 21:16,6/25/2018,21:16:25,Deer - Doe,6,6/25/2018 21:16,Pre,Outside
B14,4,6/25/2018 10:25,6/25/2018,10:25:00,Deer - Doe,6,6/25/2018 10:25,Pre,Outside
B14,4,6/25/2018 11:06,6/25/2018,11:06:35,Deer - Doe,6,6/25/2018 11:06,Pre,Outside
B14,4,6/25/2018 13:16,6/25/2018,13:16:38,Deer - Doe,6,6/25/2018 13:16,Pre,Outside
D14,3,6/25/2018 3:53,6/25/2018,3:53:24,Deer - Doe,6,6/25/2018 3:53,Pre,Outside
D14,4,6/25/2018 3:52,6/25/2018,3:52:25,Deer - Doe,6,6/25/2018 3:52,Pre,Outside
F10,3,6/25/2018 6:36,6/25/2018,6:36:33,Deer - Doe,6,6/25/2018 6:36,Pre,Outside
B14,2,6/26/2018 0:42,6/26/2018,0:42:56,Deer - Doe,6,6/26/2018 0:42,Pre,Outside
B14,3,6/26/2018 3:58,6/26/2018,3:58:25,Deer - Doe,6,6/26/2018 3:58,Pre,Outside
B14,3,6/26/2018 4:33,6/26/2018,4:33:38,Deer - Doe,6,6/26/2018 4:33,Pre,Outside
