,Station,BCI,DateTimeOriginal,Date,Time,Species,Month,TimeStamp
699,D16,3,8/10/2018 6:22,8/10/2018,6:22:54,Deer - Doe,8,8/10/2018 6:22
700,D16,4,8/10/2018 8:29,8/10/2018,8:29:22,Deer - Doe,8,8/10/2018 8:29
701,B14,4,8/11/2018 20:46,8/11/2018,20:46:46,Deer - Doe,8,8/11/2018 20:46
702,E13,4,8/12/2018 23:07,8/12/2018,23:07:22,Deer - Doe,8,8/12/2018 23:07
703,D14,3,8/13/2018 8:53,8/13/2018,8:53:05,Deer - Doe,8,8/13/2018 8:53
704,F10,3,8/13/2018 14:11,8/13/2018,14:11:28,Deer - Doe,8,8/13/2018 14:11
705,F10,4,8/13/2018 14:11,8/13/2018,14:11:28,Deer - Doe,8,8/13/2018 14:11
706,B14,2,8/14/2018 2:46,8/14/2018,2:46:45,Deer - Doe,8,8/14/2018 2:46
707,B14,3,8/14/2018 1:12,8/14/2018,1:12:26,Deer - Doe,8,8/14/2018 1:12
708,B14,3,8/14/2018 2:46,8/14/2018,2:46:47,Deer - Doe,8,8/14/2018 2:46
709,B14,3,8/14/2018 20:48,8/14/2018,20:48:17,Deer - Doe,8,8/14/2018 20:48
710,B14,4,8/14/2018 0:49,8/14/2018,0:49:48,Deer - Doe,8,8/14/2018 0:49
711,B14,4,8/14/2018 6:35,8/14/2018,6:35:29,Deer - Doe,8,8/14/2018 6:35
712,D12,3,8/14/2018 10:59,8/14/2018,10:59:13,Deer - Doe,8,8/14/2018 10:59
713,D16,4,8/14/2018 6:19,8/14/2018,6:19:00,Deer - Doe,8,8/14/2018 6:19
714,F10,3,8/14/2018 6:44,8/14/2018,6:44:27,Deer - Doe,8,8/14/2018 6:44
715,B14,3,8/15/2018 8:11,8/15/2018,8:11:28,Deer - Doe,8,8/15/2018 8:11
716,B14,3,8/15/2018 8:27,8/15/2018,8:27:01,Deer - Doe,8,8/15/2018 8:27
717,D12,4,8/15/2018 7:32,8/15/2018,7:32:02,Deer - Doe,8,8/15/2018 7:32
718,D12,4,8/15/2018 8:35,8/15/2018,8:35:55,Deer - Doe,8,8/15/2018 8:35
719,E13,4,8/15/2018 9:04,8/15/2018,9:04:27,Deer - Doe,8,8/15/2018 9:04
720,F10,3,8/15/2018 8:32,8/15/2018,8:32:48,Deer - Doe,8,8/15/2018 8:32
721,E13,1,8/16/2018 1:47,8/16/2018,1:47:57,Deer - Doe,8,8/16/2018 1:47
722,B14,3,8/17/2018 20:28,8/17/2018,20:28:01,Deer - Doe,8,8/17/2018 20:28
723,B14,3,8/17/2018 21:42,8/17/2018,21:42:59,Deer - Doe,8,8/17/2018 21:42
724,C17,4,8/18/2018 4:56,8/18/2018,4:56:35,Deer - Doe,8,8/18/2018 4:56
725,D16,3,8/18/2018 6:37,8/18/2018,6:37:57,Deer - Doe,8,8/18/2018 6:37
726,D16,4,8/18/2018 6:37,8/18/2018,6:37:35,Deer - Doe,8,8/18/2018 6:37
727,B12,4,8/19/2018 20:25,8/19/2018,20:25:11,Deer - Buck,8,8/19/2018 20:25
