InputID,TargetID,Distance
J5,J3,9514.3683927007
J5,J5,431.918885189412
J5,K1,5261.45549678667
J5,K2,4640.11632929141
J5,Q5,2948.72515469923
J5,A4,4999.62867558564
J5,F2,2482.67412799191
J5,K4,724.866533951056
J5,P4,4468.97572341108
J5,H3,3304.27703749952
K1,A5b,3229.93837199663
K1,D3b,1506.61509997451
K1,H2,2487.32003514954
K1,H4,4235.76129473513
K1,H5,4695.50011234076
K1,I5,3105.15655863504
K1,J1,3612.16090644523
K1,J2,2487.16830633405
K1,J3,5070.04760731204
K1,J5,5057.4703434531
K1,K1,618.535038621704
K1,K2,2480.37022575403
K1,Q5,3825.71728606858
K1,A4,3830.45641245885
K1,F2,2238.32857130644
K1,K4,4079.06802730235
K1,P4,5188.99421584165
K1,H3,2594.67420706929
K2,A5b,3978.92015674431
K2,D3b,2768.84978484101
K2,H2,1721.12245395202
K2,H4,4007.50005222455
K2,H5,6230.26827809633
K2,I5,931.192155231624
K2,J1,2276.55659655574
K2,J2,1720.01829734854
K2,J3,5625.97896475315
K2,J5,4743.20661724263
K2,K1,2916.40760258365
K2,K2,302.81999184164
K2,Q5,2015.67192094086
K2,A4,1162.8395899777
K2,F2,3181.184881375
K2,K4,3738.87682463693
K2,P4,2708.30564435387
K2,H3,1161.52728879336
K4,A5b,1623.28545151128
K4,D3b,5463.15771102723
K4,H2,2221.95285248784
K4,H4,194.112355441786
K4,H5,3690.52977158025
K4,I5,3107.57666366684
K4,J1,1782.56652820171
K4,J2,2222.92742563877
K4,J3,8989.6055722949
K4,J5,907.233331978267
K4,K1,4817.35499479777
K4,K2,4047.54991440615
K4,Q5,2370.37862516538
K4,A4,4400.8740027729
K4,F2,2150.42363596451
K4,K4,134.303197264837
K4,P4,3951.18174207661
K4,H3,2708.52960551761
P4,A5b,5028.89430349112
P4,D3b,4097.72474992833
P4,H2,2737.2427912101
P4,H4,4637.26367962229
P4,H5,7395.65339642099
P4,I5,1501.15243834689
P4,J1,2678.65063774312
P4,J2,2736.22599574671
P4,J3,6389.71649586434
P4,J5,5227.82567815032
P4,K1,4383.28450736631
P4,K2,1707.02871145452
P4,Q5,2125.83866992607
P4,A4,360.22744765275
P4,F2,4398.30293301201
P4,K4,4355.7225390511
P4,P4,1650.5039059028
P4,H3,2154.9642324672
Q5,A5b,4088.22819564686
Q5,D3b,3243.17028628612
Q5,H2,1778.40684764119
Q5,H4,3936.47595639313
Q5,H5,6406.40001356087
Q5,I5,681.761616974367
Q5,J1,2083.31342102586
Q5,J2,1777.31408163789
Q5,J3,6008.60193444937
Q5,J5,4626.75635819814
Q5,K1,3379.80371318698
Q5,K2,766.525596099561
Q5,Q5,1714.47539764071
Q5,A4,811.926229838058
Q5,F2,3373.34000963806
Q5,K4,3659.52075876213
Q5,P4,2233.77211486597
Q5,H3,1179.41016386802
