InputID,TargetID,Distance
A4,A5b,4304.90483434591
A4,D3b,3409.39333650699
A4,H2,1993.31835077838
A4,H4,4096.13452994605
A4,H5,6635.38151871931
A4,I5,828.269366878049
A4,J1,2202.94736586354
A4,J2,1992.24011834989
A4,J3,6058.9100039367
A4,J5,4765.03909887334
A4,K1,3591.87442628029
A4,K2,937.436657550358
A4,Q5,1777.61035998068
A4,A4,569.569108959339
A4,F2,3608.22943994194
A4,K4,3817.02531591289
A4,P4,2083.34888580055
A4,H3,1394.61578480656
A5b,A5b,256.518109410456
A5b,D3b,4764.80919602034
A5b,H2,2206.08353915726
A5b,H4,1264.9616277902
A5b,H5,2592.56762742114
A5b,I5,3402.43475242623
A5b,J1,2454.05970218251
A5b,J2,2207.18370694433
A5b,J3,8360.42885725998
A5b,J5,1932.97760364236
A5b,K1,3952.348295969
A5b,K2,3991.00028838494
A5b,Q5,3066.58834137836
A5b,A4,4737.65787230291
A5b,F2,1099.50572187909
A5b,K4,1310.10228387829
A5b,P4,4815.86642020835
A5b,H3,2804.22332717283
D3b,A5b,3531.93249145054
D3b,D3b,1440.44974468126
D3b,H2,1992.44591737785
D3b,H4,4168.47323607266
D3b,H5,5403.59212669192
D3b,I5,2206.894814296
D3b,J1,3050.67116107569
D3b,J2,1991.83505085305
D3b,J3,4900.53850459729
D3b,J5,4991.1124999796
D3b,K1,1305.17408776599
D3b,K2,1394.70046930819
D3b,Q5,3103.80434845328
D3b,A4,2752.87719083165
D3b,F2,2540.5949357906
D3b,K4,3955.41451687456
D3b,P4,4248.25004908466
D3b,H3,1853.58141502788
F2,A5b,2363.71378395269
F2,D3b,2348.71358970142
F2,H2,1518.38674391205
F2,H4,3214.60460993703
F2,H5,4214.48485960568
F2,I5,2388.83051812828
F2,J1,2628.15441695184
F2,J2,1518.45931585125
F2,J3,5940.03934264831
F2,J5,4040.86842381241
F2,K1,1646.46568339036
F2,K2,2172.9315494881
F2,Q5,2919.42680458701
F2,A4,3395.03095609466
F2,F2,1357.32495498157
F2,K4,3045.68635095111
F2,P4,4441.74864074179
F2,H3,1772.41729247644
H2,A5b,2997.14791735221
H2,D3b,3225.57392927269
H2,H2,687.596363259265
H2,H4,2941.91943877828
H2,H5,5328.08761906527
H2,I5,619.795026656022
H2,J1,1322.19552944443
H2,J2,686.498600380324
H2,J3,6456.42538622645
H2,J5,3687.21168321044
H2,K1,3022.96460919504
H2,K2,1250.33964152871
H2,Q5,1292.79185295233
H2,A4,1870.83569875763
H2,F2,2316.52467193
H2,K4,2674.88003305912
H2,P4,2650.29899216085
H2,H3,95.0459101376249
H3,A5b,2904.14208032638
H3,D3b,3236.38418678842
H3,H2,595.061334943783
H3,H4,2862.83010227273
H3,H5,5235.69422854664
H3,I5,700.523311389392
H3,J1,1283.98282065491
H3,J2,593.961248616247
H3,J3,6497.43292094389
H3,J5,3613.93022171147
H3,K1,3004.21080366543
H3,K2,1322.58436198624
H3,Q5,1298.36895761461
H3,A4,1963.37303584542
H3,F2,2226.57642552266
H3,K4,2597.46162512993
H3,P4,2707.11028721223
H3,H3,42.0841464482823
H4,A5b,1569.12944444505
H4,D3b,5690.51877940964
H4,H2,2526.54645690673
H4,H4,186.528465355331
H4,H5,3453.26884359534
H4,I5,3452.49623082825
H4,J1,2136.68251311454
H4,J2,2527.55870863366
H4,J3,9240.43678885332
H4,J5,671.547633509903
H4,K1,5002.55772312763
H4,K2,4367.56888761249
H4,Q5,2724.50344837809
H4,A4,4751.62665134668
H4,F2,2248.65453241192
H4,K4,462.87579218366
H4,P4,4290.59251960062
H4,H3,3033.84957191518
H5,A5b,2577.84032210149
H5,D3b,6180.75367353933
H5,H2,4797.33027448763
H5,H4,3742.41519871463
H5,H5,258.60605674554
H5,I5,6035.40396985822
H5,J1,5228.19427269384
H5,J2,4798.33479540173
H5,J3,9576.12537676155
H5,J5,3974.08940324432
H5,K1,5175.55867091734
H5,K2,6342.77145802594
H5,Q5,5834.81267520556
H5,A4,7328.15910478991
H5,F2,3160.59597799848
H5,K4,3916.63866228713
H5,P4,7591.14376782851
H5,H3,5381.5425458836
I5,A5b,4431.51030934269
I5,D3b,3548.34624002049
I5,H2,2121.58393622946
I5,H4,4178.23541041991
I5,H5,6772.39039987182
I5,I5,923.711694859074
I5,J1,2262.1584135037
I5,J2,2120.52020899822
I5,J3,6132.22090707726
I5,J5,4830.64095453792
I5,K1,3749.89541194456
I5,K2,1086.15661684831
I5,Q5,1802.05856317942
I5,A4,426.611401186706
I5,F2,3752.02662314854
I5,K4,3897.96404554343
I5,P4,1964.46771451589
I5,H3,1525.50221688756
J1,A5b,2787.80449988084
J1,D3b,3658.89333210628
J1,H2,570.913132440692
J1,H4,2547.2687938235
J1,H5,5169.45442616507
J1,I5,756.648124713385
J1,J1,856.824728724342
J1,J2,570.208829200062
J1,J3,6922.03423529583
J1,J5,3264.49496052252
J1,K1,3386.30743842283
J1,K2,1694.79217716236
J1,Q5,921.282070904535
J1,A4,2096.43382367093
J1,F2,2245.81395944188
J1,K4,2273.05696829374
J1,P4,2496.04722139418
J1,H3,392.430695653064
J2,A5b,2946.04010269164
J2,D3b,3198.76495041424
J2,H2,639.846063409172
J2,H4,2914.78617715775
J2,H5,5272.34607636106
J2,I5,681.540084704623
J2,J1,1330.04758504181
J2,J2,638.740736153712
J2,J3,6449.9407958652
J2,J5,3666.22151355123
J2,K1,2979.95566361316
J2,K2,1270.30144661598
J2,Q5,1327.83475521462
J2,A4,1926.55891523705
J2,F2,2257.72807033714
J2,K4,2649.59024990228
